Nume,Prenume,Sex,Cod persoana,an,functie
Giurgiu,Liviu,M,52,2007,judecător
Glodean,Florica,F,53,2007,judecător
Griga,Ioan,M,54,2007,judecător
Grigoraş,Nina Ecaterina,F,55,2007,judecător
Iacob,Ioana,F,56,2007,judecător
Ianoşi,Carmen Minodora,F,57,2007,judecător
Ilie,Maria Carmen,F,58,2007,judecător
Ioaniţiu,Elisabeta,F,59,2007,judecător
Ionescu,Gabriel,M,60,2007,judecător
Ionescu,Ioan,M,61,2007,judecător
Ionescu,Margareta Angela Sanda,F,62,2007,judecător
Ionescu,Nicolae,M,251,2007,judecător
Isailă,Mărioara,F,63,2007,judecător
Jîjîie,Corina,F,65,2007,judecător
Lazăr,Rozalia Ana,F,254,2007,judecător
Lovin,Edita,F,66,2007,judecător
Lungeanu,Viorica,F,67,2007,judecător
Lungu,Carmen Fulga Garofiţa,F,68,2007,judecător
Luţac,Gheorghiţa,F,69,2007,judecător
Luzescu,Cristina,F,70,2007,judecător
Măniguţiu,Nicolae,M,76,2007,judecător
Marcu ,Simona Camelia,F,71,2007,judecător
Marin,Eugenia,F,72,2007,judecător
Marta,Elena Daniela,F,73,2007,judecător
Mateescu,Gheorghe Ştefan,M,74,2007,judecător
Mihai,Maria Despina,F,77,2007,judecător
Moglan,Raluca,F,78,2007,judecător
Motea,Aurelia,F,79,2007,judecător
Nebela,Silvia,F,80,2007,judecător
Nicolae,Adina-Georgeta,F,82,2007,judecător
Olaru,Maura,F,83,2007,judecător
Pandrea,Anton,M,84,2007,judecător
Pantea,Paula,F,85,2007,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2007,judecător
Petrişor,Nela,F,87,2007,judecător
Pistol,Ştefan,M,88,2007,judecător
Popa,Eugenia,F,89,2007,judecător
Popa,Rodica Aida,F,90,2007,judecător
Popescu,Doina,F,91,2007,judecător
Popescu,Iuliana,F,92,2007,judecător
Popescu,Veronica Carmen,F,93,2007,judecător
Popescu ,Zenovia Mariana,F,94,2007,judecător
Popov,Valerica,F,96,2007,judecător
Preda,Joiţa,F,97,2007,judecător
Prodan,Marioara,F,98,2007,judecător
Puşoiu,Iuliana,F,99,2007,judecător
Rădulescu,Veronica,F,100,2007,judecător
Savin,Ana Alexandrina,F,102,2007,judecător
Sîrbu,Carmen,F,103,2007,judecător
Spineanu Matei,Octavia,F,104,2007,judecător
Stecoza,Gabriela,F,106,2007,judecător
Ştefănescu,Mariana Brânduşa,F,108,2007,judecător
Surdescu,Ioana,F,107,2007,judecător
Tăbârcă,Mihaela,F,110,2007,judecător
Tarcea,Cristina Iulia,F,109,2007,judecător
Teau,Carmen Trănica,F,111,2007,judecător
Teodorescu,Georgeta,F,112,2007,judecător
Teodorescu,Margareta,F,113,2007,judecător
Teodorovici,Niculai,M,114,2007,judecător
Toader,Camelia,F,116,2007,judecător
Vartires,Dana Iarina,F,118,2007,judecător
Vasile,Alixandri,M,119,2007,judecător
Viciu,Anca,F,120,2007,judecător
Vişan,Liliana,F,121,2007,judecător
Voicescu,Gheorghe,M,274,2007,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2007,judecător
Zglimbea,Luminiţa,F,123,2007,judecător
Coşneanu,Rodica,F,281,2007,judecător
Popa,Nicolae,M,1,2007,preşedinte
Stanciu,Livia Doina,F,105,2007,preşedinte cu delegaţia secţia penală
Bîrsan,Gabriela Victoria,F,5,2007,preşedinte secţia adminstrativ contencios şi fiscal
Costiniu,Florin,M,3,2007,preşedinte secţia civilă şi proprietate intelectuală
Lohan,Eugenia,F,4,2007,preşedinte secţia comercială
Bărbulescu,Lidia,F,2,2007,vicepreşedinte
Albu,Emanuel,M,6,2008,judecător
Anghelescu,Maria,F,7,2008,judecător
Aron,Mircea,M,9,2008,judecător
Barbălată,Georgeta,F,10,2008,judecător
Bărbulescu,Voica Ioana,F,11,2008,judecător
Bărcănescu ,Dragoş,M,12,2008,judecător
Belu-Magdo,Mona Lisa,F,13,2008,judecător
Bogasiu,Gabriela Elena,F,14,2008,judecător
Bordea,Adrian,M,15,2008,judecător
Brânzan,Contantin,M,17,2008,judecător
Bratu,Camelia,F,16,2008,judecător
Buta,Cristina Mădălina,F,19,2008,judecător
Buta,Gheorghe,M,20,2008,judecător
Cârcei,Elena,F,23,2008,judecător
Cătănoiu,Georgeta,F,22,2008,judecător
Chioseaua,Adriana,F,24,2008,judecător
Ciontu,Ştefan,M,27,2008,judecător
Cîrstocea,Mariana,F,25,2008,judecător
Cismaru,Filoftea,F,26,2008,judecător
Ciucă,Gilica,F,28,2008,judecător
Cornoiu,Dănuţ,M,30,2008,judecător
Cosma,Rodica,F,31,2008,judecător
Curelea,Lavinia,F,32,2008,judecător
Dascălu,Ana Maria,F,33,2008,judecător
Deneş,Adriana Viorica,F,35,2008,judecător
Dragne,Angela,F,36,2008,judecător
Dragomir,Ilie Iulian,M,37,2008,judecător
Dragomir,Ioana,F,38,2008,judecător
Dragu,Creţu,M,39,2008,judecător
Dumitru,Magdalena,F,40,2008,judecător
Duţă,Adrian,M,41,2008,judecător
Ezer,Emilia,F,42,2008,judecător
Floarea,Elena,F,43,2008,judecător
Floarea,Gheorghe,M,44,2008,judecător
Frumuşelu,Magdalena-Carmen,F,45,2008,judecător
Gaiţă ,Maria,F,46,2008,judecător
Gaspar,Gabriela,F,47,2008,judecător
Gheorghe,Dumitru,M,48,2008,judecător
Gherasim,Traian,M,49,2008,judecător
Ghermeli,Magdalena,F,50,2008,judecător
Ghiciu,Paşcu,M,51,2008,judecător
Glodean,Florica,F,53,2008,judecător
Griga,Ioan,M,54,2008,judecător
Grigoraş,Nina Ecaterina,F,55,2008,judecător
Iacob,Ioana,F,56,2008,judecător
Ianoşi,Carmen Minodora,F,57,2008,judecător
Ilie,Maria Carmen,F,58,2008,judecător
Ioaniţiu,Elisabeta,F,59,2008,judecător
Ionescu,Gabriel,M,60,2008,judecător
Ionescu,Ioan,M,61,2008,judecător
Ionescu,Margareta Angela Sanda,F,62,2008,judecător
Isailă,Mărioara,F,63,2008,judecător
Jîjîie,Corina,F,65,2008,judecător
Lazăr,Rozalia Ana,F,254,2008,judecător
Lovin,Edita,F,66,2008,judecător
Lungeanu,Viorica,F,67,2008,judecător
Lungu,Carmen Fulga Garofiţa,F,68,2008,judecător
Luţac,Gheorghiţa,F,69,2008,judecător
Luzescu,Cristina,F,70,2008,judecător
Măniguţiu,Nicolae,M,76,2008,judecător
Marcu ,Simona Camelia,F,71,2008,judecător
Marin,Eugenia,F,72,2008,judecător
Marta,Elena Daniela,F,73,2008,judecător
Mateescu,Gheorghe Ştefan,M,74,2008,judecător
Matei,Ionuţ Mihai,M,75,2008,judecător
Mihai,Maria Despina,F,77,2008,judecător
Moglan,Raluca,F,78,2008,judecător
Motea,Aurelia,F,79,2008,judecător
Nebela,Silvia,F,80,2008,judecător
Nestor,Beatrice Ioana,F,81,2008,judecător
Nicolae,Adina-Georgeta,F,82,2008,judecător
Olaru,Maura,F,83,2008,judecător
Pandrea,Anton,M,84,2008,judecător
Pantea,Paula,F,85,2008,judecător
Paşca Cameniţă,Victor Vincenţiu,M,86,2008,judecător
Petrişor,Nela,F,87,2008,judecător
Pistol,Ştefan,M,88,2008,judecător
Popa,Eugenia,F,89,2008,judecător
Popa,Rodica Aida,F,90,2008,judecător
Popescu,Doina,F,91,2008,judecător
Popescu,Iuliana,F,92,2008,judecător
Popescu,Veronica Carmen,F,93,2008,judecător
Popescu ,Zenovia Mariana,F,94,2008,judecător
Popoiag,Elena Carmen,F,95,2008,judecător
Popov,Valerica,F,96,2008,judecător
Preda,Joiţa,F,97,2008,judecător
Prodan,Marioara,F,98,2008,judecător
Puşoiu,Iuliana,F,99,2008,judecător
Rădulescu,Veronica,F,100,2008,judecător
Savin,Ana Alexandrina,F,102,2008,judecător
Sîrbu,Carmen,F,103,2008,judecător
Spineanu Matei,Octavia,F,104,2008,judecător
Stecoza,Gabriela,F,106,2008,judecător
Ştefănescu,Mariana Brânduşa,F,108,2008,judecător
Surdescu,Ioana,F,107,2008,judecător
Tăbârcă,Mihaela,F,110,2008,judecător
Tarcea,Cristina Iulia,F,109,2008,judecător
Teau,Carmen Trănica,F,111,2008,judecător
Teodorescu,Georgeta,F,112,2008,judecător
Teodorescu,Margareta,F,113,2008,judecător
Teodorovici,Niculai,M,114,2008,judecător
Toacă,Dorica,F,115,2008,judecător
Toader,Camelia,F,116,2008,judecător
Ţuca,Alina Iuliana,F,117,2008,judecător
Vartires,Dana Iarina,F,118,2008,judecător
Vasile,Alixandri,M,119,2008,judecător
Viciu,Anca,F,120,2008,judecător
Vişan,Liliana,F,121,2008,judecător
Vrânceanu,Romaniţa Ecaterina,F,122,2008,judecător
Zglimbea,Luminiţa,F,123,2008,judecător
Popa,Nicolae,M,1,2008,preşedinte
Stanciu,Livia Doina,F,105,2008,preşedinte cu delegaţia secţia penală
Bîrsan,Gabriela Victoria,F,5,2008,preşedinte secţia adminstrativ contencios şi fiscal
Costiniu,Florin,M,3,2008,preşedinte secţia civilă şi proprietate intelectuală
Lohan,Eugenia,F,4,2008,preşedinte secţia comercială
Bărbulescu,Lidia,F,2,2008,vicepreşedinte
Albu,Emanuel,M,6,2009,judecător
Anghelescu,Maria,F,7,2009,judecător
Arghir ,Christina Geanina,F,8,2009,judecător
Aron,Mircea,M,9,2009,judecător
Barbălată,Georgeta,F,10,2009,judecător
Bărbulescu,Voica Ioana,F,11,2009,judecător
Bărcănescu ,Dragoş,M,12,2009,judecător
Belu-Magdo,Mona Lisa,F,13,2009,judecător
Bogasiu,Gabriela Elena,F,14,2009,judecător
Bordea,Adrian,M,15,2009,judecător
Brânzan,Contantin,M,17,2009,judecător
Bratu,Camelia,F,16,2009,judecător
Budă,Marian,M,18,2009,judecător
Buta,Cristina Mădălina,F,19,2009,judecător
Buta,Gheorghe,M,20,2009,judecător
Canţăr ,Elena,F,21,2009,judecător
